IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP6;IP_PROP14;IP_PROP11;IP_PROP12;IP_PROP13;IC_GROUP0;IC_GROUP1;IC_GROUP2
165;Ксения Батайск;165;Y;28.06.2022 20:15;;;К Сойферу я обратилась по рекомендации коллеги, До этого посетила множество клиник и оценила подход к лечению уже на первом приеме, где на первом месте профессионализм и достоинство, а также высокий уровень знаний в своей области! Желаю успеха в работе. В моем случае все идеально!;text;;;text;kseniya-bataysk;500;;https://topdent.ru/reutov/doctors/soyfer-vladimir-valerevich/otzyvy/;TopDent;Батайск;22.02.2022;all-on-4;;;
166;Елена  Москва;166;Y;28.06.2022 20:17;;;По моему мнению, Сойфер - профессионал. У этого врача все на высшем уровне! Начиная от консультации. Я осталась довольна тем, что стоматолог делает. Он всё выполняет умело и безболезненно. Только благодаря ему, я снова улыбаюсь. ;text;;;text;elena-moskva;500;;https://topdent.ru/reutov/doctors/soyfer-vladimir-valerevich/otzyvy/;TopDent;Москва;21.01.2022;all-on-4;;;
167;Елена Николаевна  Самара;167;Y;28.06.2022 20:18;;;Давно не могла решиться на имплантацию. Всегда переживала за эстетический дефект, что я не смогу улыбаться, нормально разговаривать. Сделать all on 4 мне давно рекомендовала моя знакомая. Она была у Владимира Валерьевича. Много хорошего рассказывала про него, вот я и осмелилась на этот важный шаг. Отзыв долго не публиковала, потому что хотела проверить работу во времени. Прошло около 3х лет со дня установки. Все отлично как говорится в народе «у врача золотые руки!». Результат превзошёл все мои ожидания. Спасибо большое вам за ваш профессионализм и чуткость! Буду рекомендовать вас всем своим знакомым и друзьям!;text;;;text;elena-nikolaevna-samara;500;;https://topdent.ru/reutov/doctors/soyfer-vladimir-valerevich/otzyvy/;TopDent;Самара;13.01.2022;all-on-4;;;
168;Виктория  Москва;168;Y;28.06.2022 20:19;;;Я всегда стеснялась своей улыбки, потому, что у меня с детства проблемы с зубами, а 42 годам вообще 3 передние зуба удалили. А потом подруга была у врача Сойфера Владимира и он привел ее челюсть в порядок . И я решилась! Владимир Валерьевич, благодарю вас, что рассеяли все мои страхи и истерично испуги! Врач смог расположить к себе даже таких трудных клиентов, как я, расположить с первых минут, дать уверенность и надежду быть беззаботным человеком, который широко улыбается каждому следующему пришедшему дню! Операция прошла отлично! Быстро, четко, без жуткой боли, да, пару раз вякнула, но только от собственного страха, что будет больно. А потом - все, как бабка пошептала! Огромное спасибо за проведённую очень трудную операцию по установке длинных имплантов в скуловую кость! Финал: теперь я с шикарными зубами во весь рот! ! Я - очень рада! Спасибо за чудесные руки мастера, за терпение, за новую жизнь - с улыбкой! Приду снова, для последующего улучшения! Спасибо за ваше старание! С уважением!;text;;;text;viktoriya-moskva;500;;https://topdent.ru/reutov/doctors/soyfer-vladimir-valerevich/otzyvy/;TopDent;Москва;21.12.2021;all-on-4;;;
169;Залина Москва;169;Y;28.06.2022 20:20;;;Проблемы с зубами у меня начались после рождения третьего ребенка, в 38 лет. пришло время искать хорошего врача.. Про доктора Сойфера слышала неоднократнок нему и решила записаться на прием. на консультации он рассказал , что в моем случае можно сделать, для того, чтобы моя улыбка снова была красивой.. Уже на следующий день сделали операцию. Все прошло отлично, доктор располагает к себе, я вообще не боялась. Спасибо большре за Вашу работу.;text;;;text;zalina-moskva;500;;https://topdent.ru/reutov/doctors/soyfer-vladimir-valerevich/otzyvy/;TopDent;Москва;16.12.2021;all-on-4;;;
170;Артём  Москва;170;Y;28.06.2022 20:20;;;"У меня уже много лет был съёмные протезы на верхней и нижней челюстях. За все это время так и не сумел свыкнуться с ними. Одно страдание. Один из моих друзей посоветовал врача Владимира Сойфера. Ему сделали имплантаты и новую челюсть всего за один день. Прочитав в интернете о существовании этой методики, решил обратиться к врачу Сойферу на прием. Мне сделали бесплатный снимок, и доктор, осмотрев меня, предложил сделать «Всё на 4» имплантатах плюс два скуловых имплантата. В моём случае при отсутствии кости в верхней челюсти у меня был выбор: либо долгосрочной костной пластики, либо скуловые имплантаты. Я выбрал второй вариант. Теперь у меня прекрасная улыбка. Благодарен стоматологу Владимиру Сойфер и всему персоналу ""АмериканДентал"" за помощь и профессиональный подход.";text;;;text;artyem-moskva;500;;https://topdent.ru/reutov/doctors/soyfer-vladimir-valerevich/otzyvy/;TopDent;Москва;03.12.2021;all-on-4;;;
171;Айша  Санкт-Петербург;171;Y;28.06.2022 20:23;;;Доброго дня всем. Сойфер Владимир Валерьевич - настоящий профессионал своего дела, кому нужно протезирование - обязательно обращайтесь. Теперь у меня новая челюсть. Всё прошло на высшем уровне. ;text;;;text;aysha-sankt-peterburg;500;;https://topdent.ru/reutov/doctors/soyfer-vladimir-valerevich/otzyvy/;TopDent;Санкт-Петербург;29.11.2021;all-on-4;;;
172;Дина  Москва;172;Y;28.06.2022 20:24;;;Я почему раньше улыбаться не решалась? Потому, что у меня не было шикарной улыбки и зубов или их не было вообще - атрофирование костной ткани. Все потому, что с супер врачом - Владимиром Сойфер не была знакома. А сейчас я улыбаться буду! Владимир Валерьевич, благодарю вас, что рассеяли все мои страхи и истерично испуги! Вспомните, как я пришла к вам с больными зубами и воспаленной десной, трясущаяся, как осиновый лист? Отпрыгивающая от всех зубных врачей ... Вы чародей? Ведь можете даже таких трудных клиентов, как я, расположить с первых минут, дать уверенность и надежду быть беззаботным человеком, который широко улыбается каждому следующему пришедшему дню! Операция прошла отлично! Быстро, четко, без жуткой боли, да, пару раз вякнула, но только от собственного страха, что будет больно. А потом - все, как бабка пошептала! Огромное спасибо за проведённую очень трудную операцию по установке длинных имплантов в скуловую кость! Финал: теперь я с шикарными зубами во весь рот! И если вы, читающие мой отзыв, увидите на улицах Москвы человека, который идет и улыбается до самых ушей, в любую погоду, знайте - это же я! Я - очень рада! Спасибо за чудесные руки мастера, за терпение, за новую жизнь - с улыбкой! А от улыбки - хмурый день светлей! Приду снова, для последующего улучшения! Спасибо за ваше старание! С уважением, Дина Андреевна!;text;;;text;dina-moskva;500;;https://topdent.ru/reutov/doctors/soyfer-vladimir-valerevich/otzyvy/;TopDent;Москва;23.11.2021;all-on-4;;;
173;Юлия Николаевна Сергеева;173;Y;28.06.2022 20:24;;;Я хочу написать про волшебные руки доктора Сойфера Владимира Валерьевича. В середине июля я протезировала зубы, вся верхняя челюсть на четырёх имплантатах, два из них скуловые имплантаты (зигомы). Установка скуловых имплантатов - это сложная операция и требует особой квалификации и большого опыта от имплантолога. Я долго выбирала стоматологии, хотелось как обычно, не дорого и в тоже время качественно. Записалась на прием в несколько разных стоматологий. Но когда я по телефону стала говорить с Владимиром Валерьевичем, я поняла, что это именно тот врач, которого я долго искала. Он так доходчиво в деталях объяснил, как за 3 дня можно сделать красивые зубы. На все мои страхи, и все мои вопросы были даны исчерпывающие ответы. Сойфер не только знает, но и любит своё дело. Очень уважительный и внимательный. Это самый замечательный и опытный хирург-имплантолог, все движения четкие, грамотные, без любых колебаний, без суеты, никаких лишних действий и слов. Раз, два и готово! Во время операции я не почувствовала никакой боли, и я стала думать, что пройдёт заморозка и тогда будет чувствоваться боль. Вы не поверите, я не дождалась никакой боли! Вообще, никакой боли! А ведь мне удалили много зубов на верхней челюсти. Через три дня я уже была не с временными, а с постоянными зубками. Вот какое чудо! Это не сказка, красивые и естественные зубы за 3 дня. Я постоянно смотрю на свои белоснежные зубки и не могу нарадоваться. Моя счастливая улыбка не сходит с моего лица. Я красавица, да и только. Я очень довольна, что доверилась этому доктору. Комментарий Владимир Валерьевич, я желаю огромного процветания Вашему сложному, но очень нужному и полезному делу! Вы дарите счастье и радость людям! Здоровья Вам и успехов во всех Ваших начинаниях!;text;;;text;yuliya-nikolaevna-sergeeva;500;;https://topdent.ru/reutov/doctors/soyfer-vladimir-valerevich/otzyvy/;TopDent;;15.09.2020;all-on-4;;;
174;Андрей Юрьевич;174;Y;28.06.2022 20:25;;;"Огромное спасибо Владимиру Валерьевичу Сойферу за прекрасно проведенную имплантацию по формуле ""All-On-Four""! Операция по удалению нескольких зубов и установке имплантов заняла менее одного часа. Благодарю доктора Сойфера за отличную работу, чуткое отношение и прекрасное чувство юмора! Лечение было проведено в высшей степени профессионально, удобно, комфортно, и я прекрасно чувствую себя с новыми зубами.";text;;;text;andrey-yurevich;500;;https://topdent.ru/reutov/doctors/soyfer-vladimir-valerevich/otzyvy/;TopDent;;20.08.2019;all-on-4;;;
